"player_api_id","leagues_played","total_appearances","player_name","overall_rating","gk_attributes"
11746,1,2,"Pedro Alves",66,329
11747,1,56,"Alessandro Mangiarrati",60,61
11752,1,2,"Marco Paulo",64,131
11754,1,65,"Ruben Amorim",77,56
11758,2,203,"Eliseu",78,67
11759,1,22,"Carlos Milhazes,22",68,141
11760,1,5,"Jorge Baptista",65,316
11778,1,26,"Roversio",73,39
11788,1,22,"Rui Baiao,22",65,133
11795,1,12,"Ferreira",61,126
11796,1,103,"Briguel",66,43
11798,1,13,"Zeca",75,48
11801,1,39,"Luis Olim",65,126
11827,1,25,"Fernando Cardozo",69,136
11829,1,52,"Bruno Patacas",70,53
11833,1,64,"de Oliveira Cleber Monteiro",69,71
11836,1,29,"Marcelo Pereira Bruno",68,130
11840,1,24,"Miguel Fidalgo",68,131
11849,1,52,"Pedro Moreira",69,63
11851,1,33,"Nuno Silva",68,126
11860,1,59,"Jose Manuel Ze Gomes",67,139
11861,1,11,"Bruno Mendes",66,129
11863,1,175,"Danielson",71,44
11865,1,28,"Ferreira Delson,28",65,59
11876,1,26,"Laranjeiro",68,149
11897,1,28,"Flavio Meireles",70,60
11901,1,52,"Ricardo Pessoa",65,59
12005,1,1,"Ersen Martin",75,140
12099,1,25,"Marcel MBayo,25",66,121
12209,1,7,"Tomas Kosicky",66,330
12245,3,12,"Adam Nemec",70,58
12246,1,50,"Stanislav Sestak",77,122
12283,2,97,"Robert Demjan",68,58
12288,1,8,"Jan Durica",75,53
12307,1,96,"Miroslav Bozok",63,43
12310,1,8,"Rudolf Urban",57,40
12318,2,106,"Dusan Pernis",70,351
12320,1,23,"Dalibor Pleva",60,47
12327,1,33,"Matej Izvolt",62,52
12330,1,114,"Peter Pekarik",76,58
12340,1,73,"Richard Zajac,28",67,340
12371,1,4,"Kamil Kopunek",65,42
12374,1,179,"Pavol Stano",66,41
12381,1,1,"Jan Slovenciak",59,291
12386,1,52,"Krisztian Nemeth",71,56
12405,2,27,"Elvedin Dzinic",66,114
12418,1,3,"Dragan Jelic",64,54
12431,1,35,"Jure Travner",65,59
12454,1,1,"Branko Ilic",69,138
12473,2,65,"Marko Suler",72,36
12574,1,65,"Zlatan Ljubijankic",72,52
12692,1,40,"Kanu",71,44
12763,1,25,"Nicolae Ovidiu Herea",69,60
12766,2,80,"Cristian Sapunaru",77,57
12985,1,34,"Christos Karypidis",66,125
13033,2,81,"Orestis Karnezis",79,391
13034,1,7,"Michalis Sifakis",76,377
13131,1,70,"Tomislav Pacovski",68,330
13191,1,3,"Ioannis Maniatis",75,51
13225,1,29,"Fabian Pawela",62,53
13301,1,46,"Kamil Kuzera",65,53
13320,1,70,"Krzysztof Kotorowski",66,329
13327,1,41,"Pawel Sasin",64,125
13329,1,99,"Blazej Telichowski",62,58
13334,2,140,"Lukasz Madej",68,52
13345,2,143,"Pawel Kieszek",75,374
13349,1,77,"Antoni Lukasiewicz",68,97
13350,1,32,"Wojciech Szymanek",61,53
13376,1,142,"Jakub Rzezniczak",70,54
13383,1,127,"Maciej Korzym",67,53
13390,1,60,"Wojciech Skaba",63,312
13405,1,158,"Marcin Malinowski",65,52
13410,1,39,"Mariusz Zganiacz",71,47
13423,2,84,"Marcin Wasilewski",72,49
13425,1,34,"Wahan Gevorgyan",63,53
13428,2,117,"Slawomir Peszko",75,56
13436,1,125,"Krzysztof Pilarz",67,360
13437,1,155,"Piotr Celeban",72,46
13449,1,189,"Lukasz Tralka",70,66
13454,1,94,"Sebastian Przyrowski",65,319
13471,2,149,"Radoslaw Cierzniak",66,331
13472,1,36,"Arkadiusz Malarz",65,325
13473,1,90,"Maciej Mielcarz",66,329
13474,1,78,"Jaroslaw Bieniuk",67,57
13476,1,10,"Dawid Kucharski",64,135
13477,1,82,"Tomasz Lisowski",69,48
13480,1,85,"Grzegorz Wojtkowiak",72,47
13481,1,153,"Hubert Wolakiewicz",68,55
13483,1,28,"Filip Burkhardt",59,131
13486,1,68,"Marcin Kikut",70,105
13490,1,83,"Szymon Sawala",61,58
13494,1,48,"Jakub Szmatula",66,337
13504,1,96,"Mateusz Zytko",60,62
13513,1,45,"Pawel Strak",70,42
13515,1,90,"Lukasz Mierzejewski",63,59
13518,1,175,"Lukasz Piszczek",83,57
13533,1,90,"Piotr Polczak",67,58
13538,1,108,"Dawid Plizga",68,51
13549,1,22,"Vejlko Nikitovic",61,70
13551,1,170,"Tomasz Brzyski",69,73
13554,1,144,"Mariusz Pawelec",66,64
13557,1,26,"Dawid Soldecki",61,53
13917,1,95,"Liam Kelly",68,52
14039,1,160,"Paul Dixon",71,57
14100,1,156,"Alan Mannus",69,341
14487,1,14,"Roei Dayan",68,52
14521,2,81,"Maor Melikson",76,54
14533,1,14,"Gal Alberman",72,156
14551,1,3,"Dekel Keinan",66,44
14557,1,63,"Lior Rafaelov",78,52
14560,1,55,"Eden Ben Basat",73,52
14593,1,11,"Eliran Atar",72,46
14642,1,28,"Yoav Ziv",67,133
14658,1,58,"Vladimir Dvalishvili",69,50
15361,1,101,"Jasmin Buric",71,348
15403,3,174,"Edin Dzeko",85,63
15425,1,3,"Veldin Muharemovic",57,119
15456,1,4,"Josip Barisic",59,118
15608,1,62,"Amir Spahic",60,52
15652,1,1,"Ivica Dzidic",56,120
15661,1,6,"Davor Landeka",58,66
15662,1,29,"Sulejman Smajic",69,125
15732,1,113,"Ivan Radovanovic",73,27
15905,1,6,"Stanley Aborah",66,62
15913,1,2,"Dimitrija Lazarevski",59,116
15938,1,11,"Jovan Kostovski",66,69
16199,1,22,"Boban Bajkovic",68,344
16210,1,4,"Marko Perovic",70,43
16218,2,33,"Simon Vukcevic",79,150
16230,1,11,"Milan Smiljanic",71,116
16254,2,158,"Dusan Veskovac",70,59
16292,1,4,"Branko Lazarevic",66,53
16300,1,88,"Gojko Kacar",78,145
16323,1,2,"Nikola Nikezic",63,120
16351,2,157,"Aleksandar Kolarov",79,61
16362,1,27,"Andjelko Djuricic",68,344
16368,1,17,"Savo Pavicevic",67,129
16387,1,20,"Mladen Lazarevic",61,127
16428,1,5,"Ivan Stevanovic",65,46
16475,1,15,"Nikola Vukcevic",73,67
16493,1,76,"Pavle Ninkov",71,57
16511,1,37,"Konstantin Vassiljev",71,56
16636,2,14,"Mikhail Sivakov",68,145
16678,1,37,"Anton Putsila",73,46
17233,1,1,"Zlatko Janjic",66,59
17259,1,46,"Marnix Kolder",65,51
17276,1,69,"Aloys Nong",70,46
17296,1,2,"Claude Gnakpa",58,72
17299,1,16,"Carlos Carmona",72,61
17312,1,49,"Anther Yahia",76,137
17319,1,28,"Kenny Deuchar",65,118
17343,1,63,"David Barron",62,57
17361,1,43,"Iain Davidson",61,43
17391,1,10,"Andy Jackson",63,125
17480,1,113,"Martin Canning",65,118
17525,1,87,"Jim McAlister",64,57
17528,1,191,"Chris Millar",63,58
17568,1,50,"Gavin Skelton",63,124
17600,1,80,"Darren McGregor",68,54
17606,1,14,"Liam Buchanan",61,59
17620,1,41,"Stuart Kettlewell",63,41
17703,2,84,"Jeremy Perbet",73,42
17711,1,16,"Gareth Wardlaw",62,56
17749,1,116,"Iain Vigurs",68,53
17761,1,79,"Jacob Mulenga",72,53
17762,1,5,"Ghislain Gimbert",69,61
17806,1,50,"Nassim Akrour",70,136
17836,1,50,"Angelo",72,57
17848,1,97,"Robert Braber",67,49
17855,1,157,"Edouard Duplan",72,62
17866,1,40,"Andrew Reid",78,126
17869,1,117,"Dusan Kuciak",72,348
17875,2,117,"Jordan Loties",74,48
17883,1,19,"Emanuel Obiora Odita,19",65,120
17887,1,6,"Matt Done",64,35
18164,1,8,"Mariano Pavone",77,126
18376,1,22,"Matias Fritzler",68,46
18384,2,4,"Diego Valeri",78,60
18388,1,28,"Leandro Gioda,28",73,111
18395,1,5,"Marcos Aguirre",73,107
18483,1,6,"Pablo Javier Perez",78,57
18500,1,35,"Maximiliano Pellegrino",77,127
18501,1,67,"Hernan Pellerano",74,136
18506,2,119,"Mauro Zarate",84,143
18518,3,22,"Jose Sosa",82,142
18520,1,59,"Marcos Angeleri",76,48
18521,1,23,"Jose Maria Basanta",78,51
18533,1,13,"Loic Loval-Landre",67,145
18548,1,57,"Jose Ze Pedro",74,149
18549,1,55,"Tiago Targino",73,142
18552,1,55,"Ferreira de Matos Alonso",71,56
18558,1,18,"Nicolas Navarro",75,375
18576,2,92,"Lucas Barrios",83,60
18590,1,32,"Cristian Llama",75,65
18592,1,37,"Roman Martinez",70,104
18628,2,73,"Marco Ruben",76,47
18636,1,44,"Pablo Barzola",66,47
18644,1,25,"Federico Almerares",66,60
18653,1,2,"Jose Gustavo Sand",72,65
18664,1,67,"Christian Fernandez",72,49
18673,1,130,"Gustavo Cabral",77,47
18705,2,14,"Jesus Datolo",77,56
18733,1,73,"Pablo Barrientos",79,47
18734,2,74,"Dario Cvitanich",77,60
18784,1,89,"Emiliano Daniel Armenteros",75,35
18814,2,74,"Fernando Gago",80,157
18816,1,54,"Pablo Martin Ledesma",78,143
18820,1,78,"Ezequiel Scarione",76,58
18823,1,194,"Matias Silvestre",80,47
18848,1,5,"Jonathan Bottinelli",73,44
18853,1,14,"Claudio Morel",73,138
18859,2,12,"Mauro Boselli",74,48
18880,1,133,"Nicolas Federico Spolli",80,49
18904,3,164,"David Abraham",77,40
18913,1,16,"Juan Eduardo Eluchans",70,122
18923,1,14,"Carlos Matheu",71,41
18925,2,179,"Ezequiel Lavezzi",86,48
18945,2,38,"Santiago Gentiletti",77,55
19000,1,35,"Dante Adrian Senger",61,52
19014,1,19,"Guillaume Ducatel",60,126
19020,1,124,"Christopher Samba",79,44
19232,1,91,"Rafael Miranda",74,46
19243,2,169,"Diego Costa",86,55
19249,1,174,"Danilo",81,41
19264,1,59,"Evandro Goebel",76,50
19277,1,1,"Dinei",72,53
19281,1,65,"Edivaldo Rojas",65,53
19285,1,27,"Rafael Marques",73,51
19297,1,28,"Thiago Xavier",66,50
19309,1,16,"Edson Sitta",69,49
19310,1,3,"Dyego Rocha Coelho",72,46
19327,2,146,"Miranda",85,53
19344,2,112,"Artur",82,408
19352,1,51,"Jonathan",78,45
19353,1,33,"Fabionn Lopes Patrick",64,134
19370,1,13,"Rodrigo Arroz",67,45
19372,2,100,"Bruno China",71,137
19380,1,5,"Vinicius Pacheco",71,47
19393,1,81,"Diego",73,379
19403,2,5,"Galatto",75,383
19427,1,41,"Claudio Pitbull",73,43
19434,1,36,"Marcelo Boeck",74,361
19435,1,54,"Renan",78,389
19436,1,13,"Edinho",74,158
19439,1,80,"Joao Guilherme",71,135
19446,1,33,"Pedro Silva",72,143
19488,1,6,"Rivaldo",70,54
19489,1,67,"Halisson",70,57
19511,1,128,"Josue",82,151
19512,1,13,"Renan Silva",69,148
19515,1,193,"Cassio",74,365
19524,1,93,"Claudemir",70,53
19531,1,23,"Silva",70,40
19533,1,82,"Neymar",90,59
19674,1,8,"Branko Jelic",62,110
19696,1,9,"Zhi Zheng",73,154
19908,1,7,"Junmin Hao",68,141
20118,1,78,"Takafumi Akahoshi",69,50
20125,1,89,"Hajime Hosogai",76,63
20174,1,2,"Koki Mizuno",78,133
20196,1,2,"Kisho Yano",68,64
20241,1,13,"Takahito Soma",66,51
20276,1,82,"Hulk",85,46
20323,1,4,"Carciano",67,134
20325,1,22,"Marcelo Silva",71,45
20329,1,11,"Rafael Dias",65,62
20342,1,2,"Rafael Santos",70,47
20396,1,80,"Felipe Santana",77,34
20399,1,3,"Dudu",61,125
20401,3,126,"Michel Bastos",84,58
20445,1,54,"Ederson Tormena",66,46
20446,1,24,"Fagner",74,42
20482,1,94,"Marcos Ceara",74,50
20645,2,85,"Mike Havenaar",72,47
20694,2,131,"Shinji Okazaki",78,42
20720,1,41,"Robert Cullen",67,48
20747,2,110,"Eiji Kawashima",74,367
20771,1,4,"Akihiro Ienaga",74,57
20790,1,38,"Michihirio Yasuda",70,45
21123,1,5,"Erik Friberg",66,10
21161,1,32,"Amoreirinha",69,47
21164,1,2,"Thiago Neves",80,58
21213,1,9,"Daniel Dunst",55,51
21410,1,13,"Sebastian Leto",78,53
21414,2,99,"Oscar Trejo",77,62
21445,1,15,"Juca",74,54
21446,1,144,"Hernanes",85,53
21450,1,96,"Marc Bertran",74,47
21458,1,22,"Andre Leone",73,113
21528,1,9,"Mark Burchill",60,111
21613,2,54,"Nikola Kalinic",78,47
21645,1,34,"David Meul",62,315
21657,1,8,"Alexandre Di Gregorio",59,116
21726,1,49,"Ibrahima Conte",73,54
21744,1,1,"Bart Goossens",57,132
21751,1,36,"Mohammed Rabiu",71,55
21753,1,76,"Tim Matthijs",68,60
21765,1,76,"Jop van der Linden",72,53
21776,2,43,"Gregory Lorenzi",66,58
21785,1,2,"Esteban Solari",71,130
21812,1,30,"Michael Klukowski",69,59
21834,1,93,"Rachid Farssi",66,58
21849,1,7,"Chris McCann",73,150
21853,1,32,"Dudley Campbell",76,36
21864,1,21,"Stephen Quinn",71,42
21894,1,2,"Junio Cesar Arcanjo Juninho",68,58
21914,1,21,"Chris Robertson",63,49
21982,1,10,"Raffaele Schiavi",69,60
22045,1,3,"Lee Tomlin",70,57
22096,1,38,"Giuseppe Aquaro",65,42
22103,1,4,"Luigi Beghetto",64,157
22125,1,34,"Paulo Lopes",74,367
22126,1,2,"Hugo Carreira",69,94
22128,1,57,"Tony",68,46
22130,1,1,"Hugo Valdir",61,122
22131,1,75,"Hugo Morais",72,137
22134,1,2,"Rui Borges",65,139
22136,1,2,"Tiago Rosa",57,51
22139,1,17,"Anselmo",69,39
22234,1,3,"Jose Mari",79,126
22283,1,73,"Fabrizio Cacciatore",72,47
22305,1,1,"Simone Farelli",59,297
22313,1,125,"Elkin Soto",76,68
22337,1,72,"Leandro Castan",82,39
22343,1,4,"Benjamin Fischer",46,111
22355,1,4,"Lorenzo Del Prete",70,43
22382,1,56,"Drissa Diarra",64,139
22386,1,29,"Stefano Ferrario",66,50
22418,1,56,"Peterson Pecanha",74,365
22421,2,80,"Tiago Valente",70,49
22427,1,27,"Ricardo Pedrinha,27",70,143
22428,1,45,"Cristiano",74,142
22434,1,14,"Ronny Carlos da Silva",68,44
22444,1,11,"Garry Wood",55,100
22514,1,27,"Rodrigues Saulo",68,127
22519,1,69,"Carlitos",66,44
22535,1,17,"Elson",73,54
22543,4,147,"Radamel Falcao",90,43
22544,1,21,"Wason Renteria",76,70
22545,1,25,"Marcinho",75,113
22700,1,12,"Lorenzo Bucchi",58,288
22706,1,28,"Kostadin Hazurov",65,38
22707,2,79,"Stanislav Manolev",73,47
22714,1,11,"Ivan Ivanov",72,44
22732,1,13,"Janicio Martins",69,134
22764,1,220,"Martin Skrtel",82,44
22785,1,21,"Stilianos Malezas",75,47
22822,1,32,"Aleksander Seliga",67,338
22824,1,14,"Dusan Svento",75,136
22831,2,21,"Marcel Gecov",65,60
22832,1,15,"Lukas Jarolim",71,147
22834,1,79,"Marek Suchy",78,62
22894,1,9,"Dean Hammond",69,59
22924,1,52,"Neil Alexander",73,370
22928,2,78,"Glenn Loovens",73,128
22929,2,151,"Joe Ledley",76,52
22952,1,67,"Isaac Osbourne",66,47
22959,1,24,"Luke Varney",73,60
22962,1,74,"Ben Williams",66,323
22964,1,99,"Billy Jones",72,58
22969,2,175,"Michael Higdon",71,48
22978,1,28,"Ross Turnbull",74,376
22982,1,22,"Philip Chidi Onyemah",64,123
22984,1,57,"Ivan Cordoba",83,128
22988,1,2,"Mark Hudson",72,42
22991,1,85,"Ben Watson",73,42
22994,2,14,"Tom Soares",68,141
22998,1,75,"Julian Speroni",77,379
23007,1,31,"Andrew Davies",69,88
23016,1,3,"Chris Turner",60,53
23019,1,1,"Giles Barnes",74,140
23021,1,116,"Boaz Myhill",77,384
23022,1,60,"Andrew Dawson",72,128
23023,1,31,"Ian Ashbee",73,131
23025,1,19,"Nick Barmby",67,134
23027,1,21,"Matt Duke",64,318
23030,1,97,"Damien Delaney",75,52
23034,1,35,"Craig Fagan",72,48
23036,1,1,"Ryan France",60,39
23051,1,11,"Jimmy Juan",61,134
23054,1,1,"Owen Garvan",68,149
23065,1,31,"Stephen Crainey",73,34
23069,1,2,"Frazer Richardson",69,53
23070,1,38,"Shaun Derry",70,39
23072,1,12,"Richard Cresswell",70,37
23073,1,21,"Matthew Kilgallon",74,142
23074,1,20,"Robbie Blake",76,146
23075,1,40,"Franco Sosa",72,44
23080,1,30,"Rab Douglas",62,310
23081,1,76,"Alan Maybury",66,54
23083,1,62,"Stephen Hughes",68,112
23091,1,67,"Richard Stearman",74,52
23093,1,4,"Tommy Wright",61,117
23099,1,64,"Kevin Foley",70,53
23104,1,32,"Rowan Vine",70,51
23114,1,61,"Dean Brill",66,328
23115,1,29,"Leon Barnett",71,48
23117,1,180,"John Sutton",71,57
23127,1,84,"Jody Morris",67,54
23133,1,12,"Adam Drury",72,113
23134,1,38,"Jason Shackell",75,38
23139,1,4,"Dean Ashton",82,78
23141,1,116,"Paul Gallacher",68,336
23144,2,24,"Jurgen Colin",66,77
23147,1,1,"Joe Lewis",68,334
23148,3,60,"Marc Janko",76,105
23151,1,184,"Frazer Wright",68,54
23163,1,10,"Akos Buzsaky",72,45
23170,1,9,"Matt Derbyshire",77,45
23182,1,13,"Omar Daley",65,45
23185,1,33,"Graham Alexander",72,144
23186,1,46,"Callum Davidson",71,87
23187,1,19,"Youl Mawene",63,57
23190,1,49,"David Nugent",78,114
23193,1,2,"Matthew Hill",64,98
23225,1,57,"Stephen Hunt",77,134
23249,1,29,"Lee Bullen,29",66,126
23253,1,209,"Glenn Whelan",76,66
23254,1,53,"Burton O'Brien",66,146
23257,1,188,"Chris Brunt",75,48
23264,1,215,"Gabriel Agbonlahor",83,124
23265,1,33,"Patrick Kenny,30",80,389
23268,1,224,"Phil Jagielka",82,269
23271,1,4,"Danny Webber",81,90
23275,1,1,"Michael Tonge",74,145
23282,1,94,"Nicky Shorey",77,152
23283,1,111,"Steve Sidwell",78,152
23284,1,16,"Ibrahima Sonko",75,89
23285,1,4,"Glen Little",74,111
23286,1,4,"Leroy Lita",80,115
23288,1,20,"Dave Kitson",76,116
23291,1,84,"Kevin Doyle",79,152
23293,1,114,"Shane Long",76,50
23299,1,6,"Brett Ormerod",71,54
23304,1,11,"Djamel Belmadi",68,150
23305,1,96,"Nathan Dyer",76,61
23307,2,13,"Steve Simonsen",71,360
23310,1,49,"Michael Duberry",75,112
23311,1,65,"Clint Hill",72,57
23314,1,36,"Mamady Sidibe",70,112
23317,1,57,"David Templeton",74,41
23333,1,25,"Seyi Olofinjana",74,155
23334,1,48,"Jody Craddock",73,72
23335,1,42,"Jackie McNamara",73,123
23349,1,27,"Clarke Carlisle",74,125
23352,1,28,"Marlon King",76,59
23354,1,190,"Ashley Young",85,67
23355,1,3,"Hameur Bouazza",74,53
23358,1,63,"Adrian Mariappa",73,47
23369,1,103,"Andy Wilkinson",74,59
23370,1,17,"Martin Paterson",75,100
23371,1,3,"Carl Dickinson",65,132
23377,1,24,"Garry Monk",70,45
23412,1,17,"Lewis Guy",61,55
