"lon","lat"
"328",-75.2424229,39.8743959
"331",-74.8593318,40.5123258
"332",-86.6302625,33.3401108
"333",-76.3949614,40.1634279
"335",-118.2436849,34.0522342
"339",-97.9413941,29.8832749
"341",-120.5542012,43.8041334
"342",-79.3831843,43.653226
"343",-89.5222911,32.033488
"344",-84.2338093,33.5442781
"345",-74.0059413,40.7127837
"347",78.96288,20.593684
"348",-87.6297982,41.8781136
"350",-86.158068,39.768403
"351",-102.552784,23.634501
"352",15.2551187,54.5259614
"353",-81.5157535,27.6648274
"356",-73.4081575,41.117744
"362",-90.6892929,38.713386
"363",-98.4936282,29.4241219
"364",-51.92528,-14.235004
"365",-85.3232139,51.253775
"370",-101.1949825,19.7059504
"371",-0.1277583,51.5073509
"372",-74.0059413,40.7127837
"373",-70.8226541,43.9653889
"374",-0.1277583,51.5073509
"377",-76.8770788,40.2555809
"378",-79.9958864,40.4406248
"379",24.1051864,56.9496487
"380",151.2092955,-33.8688197
"382",-121.932387,37.729808
"384",-90.1994042,38.6270025
"385",-70.250557,43.656721
"386",-98.9896643,19.3994934
"387",-73.9788248,40.7521501
"391",-38.5266704,-3.7318616
"392",-1.778586,50.735777
"393",-73.0976232,40.8937312
"394",-87.6297982,41.8781136
"398",-76.6121893,39.2903848
"399",-92.0198427,30.2240897
"400",-74.0059413,40.7127837
"401",-74.0059413,40.7127837
"402",69.345116,30.375321
"406",-74.0059413,40.7127837
"408",-71.0588801,42.3600825
"410",-0.1277583,51.5073509
"413",-79.3831843,43.653226
"415",121.774017,12.879721
"416",-88.0118473,41.7435073
"418",-87.671069,45.047301
"419",-79.9958864,40.4406248
"421",57.552152,-20.348404
"422",103.819836,1.352083
"425",-77.1945247,41.2033216
"426",-120.8499924,35.3659445
"428",-90.0715323,29.9510658
"429",-99.9018131,31.9685988
"431",-95.712891,37.09024
"432",139.6917064,35.6894875
"434",-96.0834463,41.2043098
"435",-106.2800242,43.4113604
"436",-122.5801293,47.329264
"438",-119.1770516,34.1975048
"442",-94.6858998,46.729553
"443",-95.712891,37.09024
"444",-64.7782313,46.0878165
"447",-91.5305465,14.8520705
"451",-8.6304975,52.6680204
"452",-58.3815591,-34.6036844
"453",-94.8476633,47.5629723
"456",-79.461256,44.059187
"458",45.079162,23.885942
"459",-91.8318334,37.9642529
"460",-87.6297982,41.8781136
"461",-95.712891,37.09024
"462",-99.9018131,41.4925374
"466",-91.8318334,37.9642529
"470",-73.567256,45.5016889
"475",-119.4179324,36.778261
"476",-94.9143239,43.6280145
"478",-84.6564727,38.0451674
"479",-116.419389,34.9592083
"480",-95.712891,37.09024
"482",-70.9494938,42.466763
"483",-117.1610838,32.715738
"484",-87.6297982,41.8781136
"486",-64.1887761,-31.4200833
"491",-122.2913078,37.8271784
"492",-106.346771,56.130366
"495",-112.0740373,33.4483771
